"","beername","review","language"
"789","Goose Island Goose IPA","resin, floral, grass, spruce, citrus, herbs, pale, golden, amber, orange, light sweetness, medium sweetness, lightly bitter, medium bitterness, very bitter, lightly sour, medium sourness, light body, medium body,","english"
"790","Goose Island Goose IPA","Nice aroma of fruits and herbs but also a bit of metal. A bit sweet in taste but with no carmel tones. Strong bitterness, lasting a bit too long.","english"
"791","Goose Island Goose IPA","Pour a hazy deep amber colour. Barely any aroma...whiff of citrus and pine. Taste just as mild as it smells...matches the aroma with some notes of roasted malts and hoppy finish. Nothing special","english"
"792","Goose Island Goose IPA","Some grass and epic floral notes. Clear golden color with small sized white head. Sweet floral taste, caramel, grass, resin, ESB kind of bitterness out of balance and some iron. Thin body, average to lively carbonation. Too","english"
"796","Goose Island Goose IPA","Aroma is one of beer's most complex features. Aroma is propelled by lively CO2 and dampened by pillowy heads - especially nitrogen foam.","english"
"797","Goose Island Goose IPA","Found in Chicago area. Slightly above average for the style but that's about it. Easy and not very heavy but nothing special.","english"
"798","Goose Island Goose IPA","Draft. Disappointing, but shows the evolution of IPAs. Twenty years ago, this would have been well above average, but with the current trend of Uber-hoppy IPAs, this one tastes anemic in flavor. Actually more of a lager","english"
"799","Goose Island Goose IPA","Very nice balance, fruity kick, some pine. Light sweet with moderate to light bitterness. Nice","english"
"800","Goose Island Goose IPA","Nice hoppy beer. Some pines with fruity hops. Good malt / hop balance. I like this! Easy drinking","english"
"802","Goose Island Goose IPA","A golden yellow, a little bubbly. Aroma pine and citrus. Medium body. Some carbonation. Mildly bitter. Decent balance of malt and crisp herbal hops. Nothing really wrong with it although does not stand out in any way.","english"
"803","Goose Island Goose IPA","Very refreashing aromatic ipa. Very reasonable for the price. Good beer this","english"
"805","Goose Island Goose IPA","I think it's just an amazing IPA. Really easy to drink and not heavy. USA beers are the best!","english"
"812","Goose Island Goose IPA","355 ml. bottle @ Home.
Aroma: not very intense aromas of citrus, tangerine, fruits, maybe orange.","english"
"813","Goose Island Goose IPA","355ml can. Aroma is strangely sweet, like orangeade. Grassy hops. Appearance is this and golden, thin on the palate too with quite a bitt of carbonation. Taste is dry and malty, very bitter with earthy hops in the","english"
"815","Goose Island Goose IPA","0,473ml bottle. Pours clear golden with medium sized head. Some citrus and pine going on . Bitter finish. Not too complex.","english"
"817","Goose Island Goose IPA","Tonight’s #ammanvalleybeertasters chosen by valued member @d1swc has a strong hop finish, an ale that’s not a million miles away from a Guinness. Nice enough- a decent 6.9/10 from me.","english"
"818","Goose Island Goose IPA","I admit I goose stepped just a little after pouring this into my gullet, and than it felt as though a goose had walked across my grave........and vomited. So goose the wife when the mood hits you, but get her goose","english"
"821","Goose Island Goose IPA","Bottle, 355ml. Pours pale golden with a small off-white head. Very floral aroma, nice hop tinge to it, a little grassy, complex. As for the flavours, they are just sweet enough without being anywhere near overpowering, fruity,","english"
"824","Goose Island Goose IPA","Draft at Macs. Clear orangish gold pour. Lots of carbonation. Fizzy/foamy white head. Medium caramel malts. Moderate hops. Tangerines. Cereal. Honey. Easy going. Nothing complex or interesting.","english"
"825","Goose Island Goose IPA","People seem to love this beer which comes at a shock to me. They sell these at the Blue Jays game and no one ever buys it. I think it’s truly one of the worst tasting beers I’ve ever had.","english"
"826","Goose Island Goose IPA","Pours yellow with average head. Has medium body with average carbonation. Lots of floral notes on the palate. Taste is not very hoppy but subtle. Not a very dry beer or bitter.","english"
"828","Goose Island Goose IPA","On tap (at the Ft. Lauderdale Airport, possibly.) Pours pale godl with a white head. Aroma and flavor of citrus, grapefruit, pine, caramel notes, cardboard. Decent.","english"
"830","Goose Island Goose IPA","Honestly pretty decent and utterly drinkable. A good IPA to drink along with a meal.","english"
"831","Goose Island Goose IPA","Pours a clear golden colour with average carbonation. New World hop aromas of citrus and pine dominate. Taste is very much geared towards the hops with grapefruit and pine flavours dominant, with a lingering","english"
"832","Goose Island Goose IPA","Light amber pour with a small head. Aromas of hops, light citrus and pine. Nothing complex going on. Sweet bready malts provide a nice mouthfeel with little carbonation. Long dtime y finish. Not the best IPA, but in a","english"
"833","Goose Island Goose IPA","Tap - pours honey orange with a white head. Aroma is grapefruit, doughy and wheat. Taste is mild fruity w8th a malty fruit finish.","english"
"834","Goose Island Goose IPA","It has a very strong flowery scent, if people like 1664 should like this as well, except this is a bit more bitter than 1664","english"
"835","Goose Island Goose IPA","I really like this. It's an English style IPA so with only 55 ibus it's IPA-lite. I'm fond of more malty beers Irish and especially Scottish ales. I do like ipas and this one is just right. Not too hoppy so you got some bready malt","english"
"836","Goose Island Goose IPA","Clear, golden pour with a white head. The aroma has citrus and grassy hops. It has a medium body with oily texture and lively carbonation. The taste is bitter with a more neutral, somewhat dry finish. A nice anytime IPA.","english"
"837","Goose Island Goose IPA","There are heaps of hops that give off a strong flavor of  spearmint with grapefruit, but also a slightly unpleasant dust flavor.  The palate is a little watery but the aftertaste is the best of the flavours so I'm happy.","english"
"838","Goose Island Goose IPA","BoozeBud Advent Calendar No1 - 2017
A nice refreshing beer, poured with a small head. A nice","english"
"839","Goose Island Goose IPA","Tap at Brussels airport. Small head, deep gold colour, pinous hoppy aroma, strong bitter taste with fruity after taste. Good IPA","english"
"840","Goose Island Goose IPA","Nice IPA. Deep amber pour from the bottle. First beer of the session. Sweet syrupy malt and hops flavours. Goes down easily.","english"
"841","Goose Island Goose IPA","Aroma is mildly hoppy and mildly malty. There's a slight touch of oatmeal in there. Mostly grassy hops. Medium bitterness, watery taste, grassy dry finish. Some fruitiness, but not potent at all. Too generic.","english"
"842","Goose Island Goose IPA","330 ml bottle. Middle of the road ipa. Quite smooth and creamy mouthfeel with restrained hops makes for a pleasant enough beer that I’d be happy enough to revisit if it was discounted.","english"
"844","Goose Island Goose IPA","Amber in appearance. Hop spice aroma. medium body , slight bitterness and good use of hops","english"
"845","Goose Island Goose IPA","Big, big beer. One swig will do you in terms of fullness. Very hoppy on the tongue but subdued on the nose. Not as citrusy as it claims to be, but enough to pass. The finish is bold, but at the same time smooth. Not","english"
"846","Goose Island Goose IPA","First experience with Goose Island. Tend to avoid sell-out breweries but tried it tonight nonetheless. Glad I did. Very nice brew. Smooth, light, crisp. Has a lemon-lime thing going on like old fashioned 7-Up. Not a hop bomb","english"
"847","Goose Island Goose IPA","Amber clear with medium off-white head. Slight malty aroma with touch of hoppy notes. Strong hoppy bitterness on slightly sweet malty sweetness.","english"
"850","Goose Island Goose IPA","Really enjoy this Really enjoy this Really enjoy this Really enjoy this Really enjoy this Really enjoy this Really enjoy this","english"
"851","Goose Island Goose IPA","Pint in a hotel.  Pours clear gold, generous head.  Aroma isn't quite right. Soapy and metallic,  rather than dank and pine which I had hoped for. More of that on the taste too. It just tastes a but artificial.  Meh.","english"
"852","Goose Island Goose IPA","Aroma is peach wheat some alcohol murky yeast. Taste is bitter oily malt with alcohol. Too much of everything. Unbalanced.","english"
"853","Goose Island Goose IPA","On draft at Valley View Casino Center. Clear Golden with small white head. Tropical aroma and taste.","english"
"854","Goose Island Goose IPA","Can't believe I've missed this. Tap at Centurion lounge MIA. Clear copper with strong white head. Pine, resin and some citrus. Fruity with resin and medium malt body. Pretty standard.","english"
"855","Goose Island Goose IPA","Aroma: orange and faint caramel malts. Taste: grapefruit, orangae and faint grass with earthy notes. Some pine resin and little caramel. Nice balance of malts and hops. Pleasant mouthfeel. A great IPA.","english"
"856","Goose Island Goose IPA","Clear amber pour, bit of white foam there. Caramelly-hoppy nose, quite a lot of malt sweetness providing the undertone for this beer, decorated with some hop resins. Not too fragrant nor complex but still clean and solid","english"
"857","Goose Island Goose IPA","Don't knock the Goose. This is a good decent straight forward IPA that simply hits it's hoppy mark. I like this beer in its easiness and ""BAM! I am a hoppy craft beer"" nature.","english"
"858","Goose Island Goose IPA","Very surprised when I bought this from a gas station... just wanted a “craft beer” and didn’t have time to drive down town. Very smooth and decent flavor","english"
"859","Goose Island Goose IPA","330ml bottle into pint glass. Clear bronze beer with large foamy white head.Light carbonation. Aroma is grassy, woody, barnyard, earthy. Full body, oily texture. Quite sweet and malty. Surprisingly so. Hop bitterness","english"
"860","Goose Island Goose IPA","Bottle. purchased at Liquorland Macquarie Centre(5.6% and brewed in Australia Under License by Carlton United Breweries.)","english"
"861","Goose Island Goose IPA","A super hoppy English style IPA but brewed in the States. Very nice, perfect mix of hops, bitterness and citrus flavours.","english"
"864","Goose Island Goose IPA","Hmmm. Was looking forward to trying this after seeing the high ratings. Aroma is mildly hopped, more piney resin than citrus. Taste follows suite. High bitterness levels and strong alcohol flavours. Not the fruity citrus","english"
"865","Goose Island Goose IPA","From Saveur Biere. In Teku glass. Playing Extreme Forklifting 2. Plenty caramelly sweetness with some mineral notes and adequate hops to compensate.Refreshing,clean and light,with lingering industrial feel","english"
"866","Goose Island Goose IPA","Can't believe I haven't rated this, so picked up a 355ml bottle from Tesco. Pours clear golden with a thin white head. Aromas of resin and dried orange. Taste is resinous too, more dried orange peel and spice. Bitter,","english"
"867","Goose Island Goose IPA","Finally got around to trying this, bottle from Harris Teeter. SA glass. Lite copper with big frothy white head. A: piney hops over strong caramel malt, wet cardboard. T: metallic pine and floral hops, cardboard, damp grains.","english"
"868","Goose Island Goose IPA","Clear amber pour. Light peachy nose. Light smooth and sweet in flavour. Fairly simple and clean. A little fizzy and thin. Not a stand out. O.K ish.","english"
"869","Goose Island Goose IPA","From bottle. Very strong hops aroma with some citrus. Taste is hops, reasonable bitterness, bitter palate. Good.","english"
"871","Goose Island Goose IPA","355ml bottle. Pours a pale biscuity gold with a white head. Aroma: Pine, citrus, grapefruit, mild caramel malt notes. Pleasant aroma. Taste: Pine, citrus, grapefruit, mild mango, peach, caramel malt flavours. Medium","english"
"872","Goose Island Goose IPA","33cl from bottle bought at Waitrose. Well-balanced IPA, slightly citrusy, hoppy and strong flavour","english"
"873","Goose Island Goose IPA","So, now brewed under contract in Australia by the macro monster CUB. This shows in many ways from label, to aroma........, to flavour. Sudsy, messy white crown off the pour is quickly diminished to a mere island of","english"
"875","Goose Island Goose IPA","I'm am overall very happy with this Beer. The citrus Orange taste is very light and delicate . Hopes is complete for a iBU 55 . The taste is out of this world . Thanks for destroying my taste in Heineken and Stella Artois !","english"
"876","Goose Island Goose IPA","Sample from a bottle at Wegman's. Aroma of citrus and bread. A little thin.","english"
"879","Goose Island Goose IPA","Not my cup of tea. Had the aftertaste 2 hours after finishing the one and only I had.","english"
"880","Goose Island Goose IPA","(Bottle) Pours clear amber with big white head. Nice fruity aroma with floral notes - fruit salad, maybe paw paw. Light body, medium carbonation. Taste has nice backbone of caramel malt with big hop flavours - fruity at","english"
"883","Goose Island Goose IPA","16floz can, COD: 07.07.2017, $1.75 price as a single, poured contents into a pint glass - A: Dark gold with two fingers of head, S:pine cone, T: evergreen forest, M: Medium boby, bitterness, and carbonation, O:Utterly","english"
"884","Goose Island Goose IPA","P - 355ml bottle with hop graphics and bold label.

A - Golden amber with quickly disappearing white head","english"
"885","Goose Island Goose IPA","35,5cl bottle at home. Appearance: clear pale straw with medium white head. Aroma: orange, orange zest, lime, hop resin, caramel. Taste: medium sweetness and high bitterness. Notes of hop resin, grapefruit and orange","english"
"887","Goose Island Goose IPA","Good IPA overall. Citrus hops are outstanding at the end of the mouthful, and leave a pleasant aftertaste. Very easy to drink beer.","english"
"888","Goose Island Goose IPA","Light and crisp, a touch too citrusy for me with a bit of a malty bite. Love the logo more than the IPA.","english"
"889","Goose Island Goose IPA","Draught at Charlotte International Airport. Clear deep golden liquid with medium off-white head. Aroma of citrus, tangerine, caramel, grain and earth. Taste is light sweet and medium bitter with notes of citrus, caramel","english"
"891","Goose Island Goose IPA","As a man from South Africa, visiting NYC, this guy kept me level - top quality IPA.","english"
"894","Goose Island Goose IPA","Tap (as goose island ipa, 5.8%). Pours golden with whiteish head. Aroma is hoppy fruity, citrus. Flavor is sweet and bitter, citrus, grapefruit, some pine. Nice balance. Overall: very good.","english"
"895","Goose Island Goose IPA","From a bottle bought at the Co Op in Inveraray. Just a yellow golden color, like a ""pils"". Disappearing white head. Good taste, could be more ""hoppier"".","english"
"896","Goose Island Goose IPA","33 cl bottle at outback steak house the place shanghai. pours hazy golden with big head. fruity aroma with sweet citrus and bitter hoppy taste. piney juicey with some tropical notes.","english"
"897","Goose Island Goose IPA","0.33l bottle. Golden color with high creamy white head. Aroma: exotic and juicy, mango, tangerine, pine, caramel malts. Taste: grapefruit, candy, caramel malt, light herbal notes. Medium body, moderate carbonation.","english"
"898","Goose Island Goose IPA","330ml can from Sainsbury’s. Amber colour with large white head. Very standard IPA but enjoyable and well made nevertheless, bitter hops, citrus, pine.","english"
"899","Goose Island Goose IPA","At Delaney’s, Bruges. On International Beer Day (August 4). Pours clear dark golden with a small, frothy, white head; containing particles. Smells a bit off. The aroma contains hops, citrus, grapefruit, malt, mango and appl","english"
"900","Goose Island Goose IPA","This is your stereotypical IPA and that's what I want when I drink one. Clean crisp and flavorful","english"
"902","Goose Island Goose IPA","For me this is what an English style IPA ought to taste like. 
No surprise pine needle  attack when you take that first sip. Here you're welcomed by  Malty McMalt's sweet  ""Top o' the morning"" whom will then","english"
"903","Goose Island Goose IPA","Bottle from Saveur Bière.com Amber color, white head. hops bitterness, not much more. Not my thing","english"
"904","Goose Island Goose IPA","355 ml bottle @home,bb 24/08/2017.
Golden,clear. Aroma of citrus,traces of pine and lots of cooked","english"
"905","Goose Island Goose IPA","How it is possible that beer smells so Great but tastes like heineken ... carbonated, flat and boring","english"
"906","Goose Island Goose IPA","33ml Bottle at Brussels les Bains. 
Pours golden orange and clear, white gentle head. 
Aromas and taste of pilsner malt, Caramel and esters. Dry bitter","english"
"908","Goose Island Goose IPA","Not a huge fan. I realize these ratings are “subjective”, and I’ll admit I’m not an expert, but I do know what I like. It seemed to have more of a sour finish than a bitter hoppy one.","english"
"909","Goose Island Goose IPA","Bottle 12oz. Golden with a white head. Interesting malty flavour with lots of hops. Taste is bitter and bitter. I like it ! Not a beer for beginners but a truly tribute to what IPA is meant to be. Great one. Long lasting bitter finish.","english"
"910","Goose Island Goose IPA","The aroma is bursting with citrus hops that make for a pleasant odor. The color is golden with a clear body. Much clearer than the other IPAs I tried this day. The flavor is citrusy but not overwhelming. It would be a great","english"
"912","Goose Island Goose IPA","Bottle from Total Wine, South Richmond. Pours clear gold, lots of carbonation, small off-white head. Aroma is unappealing... and I don’t say that often. It smells like opening a can of Chef Boyardee ravioli along with","english"
"913","Goose Island Goose IPA","Light amber color, white head. Hops and malts aroma, citrus. Nice balanced taste, medium bitterness, caramel. Light bitter finish.","english"
"914","Goose Island Goose IPA","On tap into a plastic cup at a Blue Jays game in Toronto. Pours light amber with trace white head and lacing. Aroma: sweet malt. Flavor: malt-forward, some bitter balance. Mouthfeel: light- to medium-bodied, a little thin and","english"
"915","Goose Island Goose IPA","Limpid light amber. Nutty barley nose. Fresh citrus mouth that balances the bitterness from the hops.","english"
"916","Goose Island Goose IPA","Got this one at my farewell lunch party at Tosca with a nice calabrese pizza. I thought it was a bit on the brettish side, very hoppy.","english"
"918","Goose Island Goose IPA","A pretty standard IPA. Aroma is somewhat malty, toffee and floral/citrus. Moderate head with no lacing, paleish amber colour. Taste is well-balanced but unremarkable. Some malty toffee notes, moderate hop flavour. Palate","english"
"919","Goose Island Goose IPA","This has earned it’s seat with Steelhead, Eye of the Hawk, Newcastle, & Guinness...Top Hat of the Round Table of excellent taste","english"
"923","Goose Island Goose IPA","Just average. I found it a bit too sweet and malty actually. Good tropical aromas but not as nice to drink.","english"
"927","Goose Island Goose IPA","Pours golden amber with a high white head. Aroma; Biscuits, pineapple, oranges, peach and citrus. Taste; Citrus, liime, pineapple, grass and some pine.","english"
"928","Goose Island Goose IPA","355ml bottle. As a new reviewer, I had high hopps for this highly rated IPA and it delivers. Pleasant piney aroma, easy to drink and with a slightly dry and bitter aftertaste.","english"
"929","Goose Island Goose IPA","Can 355 ml from Waitrose. Hoppy aromas of tropical fruit and hints of caramel. Big and solid white head and dark golden body. Taste is bitter and strong with fruity notes. Has a long and bitter aftertaste. Great beer","english"
"930","Goose Island Goose IPA","Quite a strong beer, but no signs of alcohol in taste. Full body, balanced taste, not too sweet and not too bitter. Very strong white head. Overall very solid balanced beer, very good.","english"
"931","Goose Island Goose IPA","355 ml bottle imported by Cerveceria Chile. Found on an Easter Island supermarket. Currently the only IPA available here. Pours a clear orange/amber color with a small fizzy white head that diminishes quickly","english"
"932","Goose Island Goose IPA","Beautifuly balanced and very easy to drink for a ""strong hop"" beer. Perhaps the most unique tasting IPA I have ever encountered. I absolutly love this beer.Easliey in my top 3 IPA’s of all time.","english"
"933","Goose Island Goose IPA","On tap: Nice citrusy aroma and taste but not very hoppy for an IPA. Orange zest and pine are the dominate flavors, but there is a very slight sulfur aftertaste. I’m sure this was much better before InBev took over.","english"
"934","Goose Island Goose IPA","2016 catch up - Bottle at home - A typical, and nice, American IPA. Lots of hops, flavour and a great mouthfeel.","english"
"935","Goose Island Goose IPA","BOD 12/26/16. Pours clear with a golden hue coupled with a touch of amber. Outstanding head volume, very good lacing and normal retention.","english"
"936","Goose Island Goose IPA","big hoppy US-craft beer aroma, quickly gets bitter and malty in the palate. Slightly old fashioned and overly bitter, I often think. A grower, though...it settles in after a few mouthfuls.","english"
"937","Goose Island Goose IPA","0,355 l bottle from Just in Beer, Groningen for 3,20 €. Pours out red golden, little bit unclear with a small white head. Malty, hop and some tropical fruit on the nose. Taste starts hopy, crisp and fresh. Increasing bitterness. Mid","english"
"938","Goose Island Goose IPA","Bottle at restaurant in Groningen. A hugely hoppy beer, the hops kinda take over very dramatically. A very classic American craft beer taste, tasty, nothing extraordinary however.","english"
"939","Goose Island Goose IPA","From a 473ml can. No big suprises here, classic english IPA taste and aroma. It does the job and its not bad but it misses a bit of balance IMO.","english"
"945","Goose Island Goose IPA","Pours a nice golden colour with excellent head and lacing. The taste is citrus, pine and earthiness. Smooth in the middle but bitter at the end. Too much pine and not enough citrus.","english"
"946","Goose Island Goose IPA","Pours amber with a white head that leaves some lacing. Aroma is hoppy with hints of citrus and honey. Taste is rather bitter with notes of grassy hops, lemon and a hint of honey. This one has a very clean flavour but the","english"
"947","Goose Island Goose IPA","Bottle pour that retained it’s head for quite a while. Active carbonation. Lemon aroma that transitions to grapefruit flavors. Not much nuance.","english"
"949","Goose Island Goose IPA","A pale ale that for once is actually pale. Frothy head with little to no lacing. Slight herbal resin aroma. Taste more pine than citrus. Mild astringency works well with medium body malts. Well designed and highly polished","english"
"951","Goose Island Goose IPA","Not a bad beer, but it does leave a significant aftertaste when consumed by itself. Pours very nicely with a nice head and great color.","english"
"952","Goose Island Goose IPA","Aroma: floral, sweet, fruity
Appearance: golden, clear, minimal head, white foam,","english"
"953","Goose Island Goose IPA","A 12 fl oz bottle, bottled on 18th November 2016 and best before 18th November 2017. Poured into a Spiegelau IPA glass. It was a clear golden copper colour with a close to three finger white head that had good","english"
"954","Goose Island Goose IPA","300 ml bottle from local shop. Pours clear golden with a firm, fine, lasting white head, lacing present. Hoppy aroma, fruity, mostly tangerines and peach. Taste is fruity, gooseberry and citrus with a bitter hoppy finish.","english"
"956","Goose Island Goose IPA","Copper, clear nice head. Mild aroma caramel. Tofee, caramel, dry, fruit with caramel aftertaste. Growing bitterness.","english"
"957","Goose Island Goose IPA","Clear gold with lots of carbonation and a lasting head. Nice lacing with aroma of sweet citrus. Medium body with enough hop bitterness to call this an American style IPA although the English makes a better one with","english"
"958","Goose Island Goose IPA","on tap pours golden with medium white head. Aroma is floral, tropical fruits and pine. taste is citrus with some floral notes.","english"
"959","Goose Island Goose IPA","Tap, at the Green Room Ormskirk. I’d had 7 pints before I tried this, which is usally the knell for any impartial review, but despite my inebriation it had shining lights around it. Creamy, hoppy, fresh, refreshing.","english"
"960","Goose Island Goose IPA","0.355l bottle. Hopy aroma, pine and resun notes. Clear golden color, white head. Hopy taste, floral notes, light sweet, medium bitter. Medium body, oily texture, soft carbonation and hopy bitter finish. Good.","english"
"962","Goose Island Goose IPA","355ml bottle. Pours crystal clear amber with an off white head. Really malty on the nose with some lemon, touch of grapefruit and something floral. It’s got a really rich mouth feel to it. Very sweet caramel malts to","english"
"964","Goose Island Goose IPA","Can 473 ml - Copper color. Small head. Interesting aroma. Nice hop taste with amertume at the end. Good IPA that has a large distribution.","english"
"966","Goose Island Goose IPA","On tap at Goose Island Vintage Ale House, Balham n 8th February 2017. Amber with almost white foam and full lacing. Richly hoppy with savoury nuttiness and tangy fruits, applying to aroma, liquid drain and finish.","english"
"967","Goose Island Goose IPA","Bottle from GI Japan web store, unfortunately sent 10 months old. Pours a lovely orange gold, great sticky lacing from a low white head. Fresh pine and biscuit aroma, sweet citrus, orange, bergamot. Piney taste with honey","english"
"968","Goose Island Goose IPA","Pours golden with medium white head. Aroma is floral, tropical fruits, soap, some vanilla, toffee notes, citrus. Taste is tropical fruits, pine, citrus, some floral notes, pear, some bitterness, light toffee. Nice beer!","english"
"969","Goose Island Goose IPA","bottle, clear gold with white head. caramel aroma dominates, some citrus and resinous hops too. tastes of lemonpeel, orange, lotta pale malts. hops come through without any bitterness. its light & flavour wise its an ipa but","english"
"970","Goose Island Goose IPA","Maybe it’s because it was my first ipa or maybe it’s just really good ipa but I really like it. Nice white head maybe dissapering fast but it’s leaving nice lacing. Aromas of pine, mango and grapefruit connecting with really good","english"
"972","Goose Island Goose IPA","Malt-heavy, full of caramel and biscuit with a semisweet middle, traces of orange-citric hops with a dry floral fade. Weird dirty metallic flavor works its way into the finish; not bad, just a strange addition. Expected more fro","english"
"973","Goose Island Goose IPA","On tap.
Fruity hops aroma, grapefruit, citrus lime.
Clear gold blond with a fading head. Yet a small layer","english"
"974","Goose Island Goose IPA","Bottle. Pours pale amber with a medium white foam. Scent is medium musky IPA properties. Taste is consistent IPA with sort of dirty water and weird burned caramel flavors. Finish is consistent. Quite good.","english"
"975","Goose Island Goose IPA","Bottle. Pours a decent amber with a fluffy white head. Nose is incredibly hoppy, with grapefruit, lemon, and perhaps a little toffee. Taste is really nice, very hoppy as to be expected, but theres a definite toffee note in","english"
"978","Goose Island Goose IPA","Pours golden clear. Low carbonation and minimal head retention. Slight fruit citrus smell. Grapefruit taste, dry malt taste. Medium bitterness. Overall: very average IPA. Needs more hop aroma, carbonation and","english"
"979","Goose Island Goose IPA","Pours clear deep golden, with a small white head, good lacing. Aroma is light lager malts, with floral and citrus notes. Taste is malty as aroma, with bitter hops, gummy candy, citrus. Taste closer to a lager than to an IPA.","english"
"981","Goose Island Goose IPA","balanced malt and piney hop aromas. gold and clear in color with nice head. taste is hop forward but has nice light malt notes that shine through. finishes clean and smooth","english"
"982","Goose Island Goose IPA","Bottle from Co-op. Pours clear copper gold with a fluffy off-white head and lots of refreshing bubbles.  Whereas before I had struggled with the nose, this time I had lots of sweet barley sugar and sweet caramel malt. I had","english"
"984","Goose Island Goose IPA","Obtained from a tap at Bubba’s 33. New to try a Goose Island but it is a time to start. Pours a color of medium yellow along with a light foam that laces well nonetheless. I detect spruce, hay, sort of grassy. It has a slightl","english"
"985","Goose Island Goose IPA","On tap at The Bellagio. Great example of the style, plenty of citrus and pine with a touch of resin, very drinkable stuff.","english"
"989","Goose Island Goose IPA","Clear golden, medium white head. Average retention. Fruit nectar, melon on nose. Medium body. The flavour shows honey malts, melon and light to medium bitterness. Not impressive within the style.","english"
"993","Goose Island Honkers Ale","Old rating from 16-06-15 - 355ml bottle brought back from the States by a friend, poured at home in Jersey. It's amber with a white foamy head. Aromas & tastes of caramel, toffee, bread, grass & malt. Medium body.","english"
"994","Goose Island Honkers Ale","Pours an amber colour ale with a white frothy head 
Notes of roasted toffee caramel and malt 
Cask","english"
"996","Goose Island Honkers Ale","12oz bottle from Beers of Europe, and drunk on 18/08/2006.  This was pre-takeover.  Honestly, getting any American beers was great and I really liked how this was sort of similar to English bitters, but with more distinct hop","english"
"997","Goose Island Honkers Ale","35,5cl Bottle @ Saveur-Biere, Fretin, France.
Hazy amber colour with a thin white head.
Aroma is malt, straw, citrus.","english"
"998","Goose Island Honkers Ale","Nice clear deep-golden pour with near-white head; reasonable retention. Aroma is weak (although I have a cold at the moment), malty and soft hoppy. Taste is mild bitter, lasting long. Strong carbonation, bit watery","english"
"999","Goose Island Honkers Ale","09.12.2019 - 0.3l bottle from auchan in strasbourg. pours a slightly hazy pale amber with a medium dense head and a nice lacing. aroma of wood, honey, dry caramel, slight mango. flavour of wood, citrus, quite mild but","english"
"1007","Goose Island Honkers Ale","A great Ale smooth and refreshing with a color that will make you never forget this beer.","english"
"1009","Goose Island Honkers Ale","Bottle from Asda. Clear copper appearance. Aroma is malts and spiced. Flavour is bitter, dry, malt, wood, roasted, orange and citrus.","english"
"1015","Goose Island Honkers Ale","First sample from Goose Island.  All 3 singles I bought say brewed and bottled in NY though, so I guess they have a brewery on the east coast as well?  4.2% ABV.....definitely something lighter for early day/night or","english"
"1021","Goose Island Honkers Ale","355ml bottle at Travelodge London City. Pours dark golden with a thin dissipating head. Light caramel malts on the nose with some floral and spicy elements. Not much of an aroma probably because it was too cold.","english"
"1024","Goose Island Honkers Ale","Pours clear amber with a white head. Aroma of dry spices. Taste is watery malt with slightly bitter notes on the back of the mouth. Palate includes grass and more unroasted malt. Drinkable, not remarkable.","english"
"1025","Goose Island Honkers Ale","Mediocre beer. Refreshing because of the hops, a subtle caramel touch so very drinkable","english"
"1026","Goose Island Honkers Ale","Very decent one, hoppy fruity but not overly bitter. Pours orange copper, with a quite well balanced malty backbone (light caramel) and nice hoppy perfume","english"
"1027","Goose Island Honkers Ale","Picked this up in a bottle at the local supermarket here in Sapporo, Japan. It was a dear $4.25 and I know for sure there are better local, cost performers, but I wanted to try this one again. Poured a great golden","english"
"1029","Goose Island Honkers Ale","473ml can from LCBO
Dark orange, light head
Very weak and watery feel, no substance","english"
"1030","Goose Island Honkers Ale","Pint on tap at Fratelli Fresh, Darling Harbour Sydney. Looks the goods, apart from the too high carbonation. Foamy head, golden amber beer. Excellent nose of weet bix, biscuits, and caramel. Thin body with a mild","english"
"1031","Goose Island Honkers Ale","Pours clear chestnut with a full, beige head. Aroma is dried fruit and light roast. Taste is light raisin, moving to roast and a building hop backbone. Finish is roast. A decent bitter.","english"
"1032","Goose Island Honkers Ale","A single tall can from Viti Liquor in east Vancouver. An orange amber beer with modest off white head and a malted nose. Sweet, mellow malt flavors with a trace of hop bitterness. Not really my style of beer, but enjoyable","english"
"1034","Goose Island Honkers Ale","Earthy hop aroma.  Flavor is great balance of hops, floral, and sweet caramel malt and a little spice or earthy taste.","english"
"1038","Goose Island Honkers Ale","2014 rating. Enjoyed on tap at D'Arcy McGee's just before seeing Al Pacino at the NAC in Ottawa. Pours a thin foamy cap and has an amber appearance. Decent sticky lacing. Aromas of malts, nuts, a bit of barley","english"
"1044","Goose Island Honkers Ale","Malty brown appearance with almost no carbonation and very thin white head. Light aromas of sweet tree fruits with some hops. Even with 30IBU, it is difficult to find the bitterness, mainly due to the lack of a notable finish","english"
"1046","Goose Island Honkers Ale","Honey coloured. Medium density with low formation foam. Lightly malted, toasted and sweet aroma. On mouth, lightly malted and toasted and a really low bitterness at the of the sip. The aftertaste is a little bit more","english"
"1047","Goose Island Honkers Ale","Honey coloured. Medium density with low formation foam. Lightly malted, toasted and sweet aroma. On mouth, lightly malted and toasted and a really low bitterness at the of the sip. The aftertaste is a little bit more","english"
"1048","Goose Island Honkers Ale","I'm a bit ashamed that I haven't rated this one yet. Pours a clear amber with a medium white head. The aroma is a balance of toasted malt, caramel, bread, and floral hops. Its lighter and isn't offensive. The taste offers mild","english"
"1050","Goose Island Honkers Ale","Lots of malts slight metallic tinge. This is a pretty average bitter tbf. Overcarbonated and lacking complexity. Average example of the style. Nice sweet toffee malts.","english"
